tt0002888,Fulano de Tal se enamora de Manón,Comedy,0
tt0002889,The Funny Regiment,\N,0
tt0002898,"Germinal; or, The Toll of Labor",Drama,0
tt0002901,The Girl of the Sunny South,Drama,0
tt0002909,The Grand Military Parade,\N,0
tt0002916,Die große Sünderin,\N,0
tt0002917,Brother Against Brother,Drama,0
tt0002922,Hamlet,Drama,0
tt0002928,Hasard,\N,0
tt0002953,"Herrerín y Ballesteros, en Alagón",\N,0
tt0002958,El hijo del mar,\N,0
tt0002973,Dr. Mawson in the Antarctic,Documentary,0
tt0002975,L'homme qui assassina,\N,0
tt0002977,Za chest' russkogo znameni,Drama,0
tt0002978,Hoodman Blind,Drama,0
tt0002981,An Hour Before Dawn,Drama,0
tt0002987,"How Fine, How Fresh the Roses Were",Romance,0
tt0002996,My Husband's Getting Married,\N,0
tt0003002,The Firefly,Drama,0
tt0003006,In the Bishop's Carriage,"Crime,Drama",0
tt0003008,In the Stretch,Drama,0
tt0003010,"Incendio en el barrio de Montemolín, Zaragoza",\N,0
tt0003014,Ingeborg Holm,Drama,0
tt0003015,Die Insel der Seligen,Fantasy,0
tt0003022,Ivanhoe,"Adventure,Drama,Romance",0
tt0003024,Jack London's Adventures in the South Sea Islands,Documentary,0
tt0003037,Fantômas: Juve versus Fantômas,"Crime,Drama",0
tt0003039,Klyuchi schastya,Drama,0
tt0003042,Kleiner Svend und seine Mutter,Drama,0
tt0003048,A Lady of Quality,Drama,0
tt0003051,Die Landstraße,\N,0
tt0003053,Laura y sus pretendientes,\N,0
tt0003056,Leah Kleschna,"Crime,Drama",0
tt0003058,The Legend of Provence,Drama,0
tt0003069,Lille Klaus og store Klaus,Comedy,0
tt0003070,The Lipton Cup: Introducing Sir Thomas Lipton,"Drama,Sport",0
tt0003076,Livets konflikter,Drama,0
tt0003084,The Lotus Dancer,Drama,0
tt0003098,The Lure of New York,Drama,0
tt0003100,La luz que vuelve,\N,0
tt0003102,Love Everlasting,Drama,0
tt0003108,Macbeth,"Crime,Drama",0
tt0003113,Mala raza,\N,0
tt0003116,The Man from the Golden West,Western,0
tt0003124,Los marinos de papel,\N,0
tt0003131,War Is Hell,"Drama,War",0
tt0003133,De medeminaars,\N,0
tt0003139,Mexican War Pictures,Documentary,0
tt0003140,Mexican War Pictures,Documentary,0
tt0003143,Mijntje en Trijntje,\N,0
tt0003150,Miraklet,Drama,0
tt0003159,"Les Misérables, Part 2: Fantine",Drama,0
tt0003160,El modelo de virtudes,\N,0
tt0003165,Fantômas: The Dead Man Who Killed,"Crime,Drama,Mystery",0
tt0003167,"Home, Sweet Home",Drama,0
tt0003171,Moths,Drama,0
tt0003206,O Naufrágio de Veronese,Documentary,0
tt0003208,Nederland en Oranje,\N,0
tt0003214,Christmas Eve,"Comedy,Fantasy",0
tt0003218,Novillada de beneficencia en Zaragoza,\N,0
tt0003227,"The Girl from Abroad; or, The Great Underworld",Drama,0
tt0003230,The Old Armchair,\N,0
tt0003240,On the Steps of the Throne,\N,0
tt0003241,One Hundred Years of Mormonism,"Drama,History",0
tt0003243,The Orphan,\N,0
tt0003267,"The Pendleton, Oregon, Round-Up",Documentary,0
tt0003271,Pesca do Atum no Algarve,Documentary,0
tt0003287,Pommy Arrives in Australia,Comedy,0
tt0003289,The Port of Doom,Drama,0
tt0003294,Primera comunión de las alumnas de las Escuelas Pías,\N,0
tt0003298,A Princess of Bagdad,"Drama,Fantasy",0
tt0003299,A Prisoner in the Harem,Drama,0
tt0003301,The Prisoner of Zenda,Adventure,0
tt0003305,The Secret of the Well,\N,0
tt0003306,På livets ödesvägar,Drama,0
tt0003309,Captive Souls,\N,0
tt0003330,The Life and Works of Richard Wagner,"Biography,Drama,History",0
tt0003332,Rick's Redemption,\N,0
tt0003334,The Road to Ruin,Drama,0
tt0003337,Robin Hood,Adventure,0
tt0003351,Sapho,Drama,0
